[2024-01-01T14:30:37.241+0300][info][gc] Using The Z Garbage Collector
[2024-01-01T14:31:24.266+0300][info][gc] GC(53) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.366+0300][info][gc] GC(54) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.466+0300][info][gc] GC(55) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.566+0300][info][gc] GC(56) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.667+0300][info][gc] GC(57) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.767+0300][info][gc] GC(58) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.867+0300][info][gc] GC(59) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:24.966+0300][info][gc] GC(60) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.066+0300][info][gc] GC(61) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.166+0300][info][gc] GC(62) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.266+0300][info][gc] GC(63) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.366+0300][info][gc] GC(64) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.466+0300][info][gc] GC(65) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.566+0300][info][gc] GC(66) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.666+0300][info][gc] GC(67) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.767+0300][info][gc] GC(68) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.868+0300][info][gc] GC(69) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:25.966+0300][info][gc] GC(70) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.066+0300][info][gc] GC(71) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.166+0300][info][gc] GC(72) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.266+0300][info][gc] GC(73) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.366+0300][info][gc] GC(74) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.466+0300][info][gc] GC(75) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.567+0300][info][gc] GC(76) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.666+0300][info][gc] GC(77) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.767+0300][info][gc] GC(78) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.867+0300][info][gc] GC(79) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:26.967+0300][info][gc] GC(80) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:27.066+0300][info][gc] GC(81) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:27.166+0300][info][gc] GC(82) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:27.266+0300][info][gc] GC(83) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
[2024-01-01T14:31:27.366+0300][info][gc] GC(84) Garbage Collection (Allocation Rate) 12M(75%)->12M(75%)
